date,stage,group,home,away,home_goals,away_goals,venue,neutral,home_rating_before,away_rating_before,points
2026-07-07,R16,,AR,EG,3,2,US,True,2151,1747,5
2026-07-07,R16,,CO,CH,0,0,CA,True,2009,1943,-6
2026-07-09,QF,,FR,MA,2,0,US,True,2143,1921,20
2026-07-10,QF,,ES,BE,2,1,US,True,2177,1960,13
2026-07-11,QF,,AR,CH,3,1,US,True,2156,1949,21
2026-07-11,QF,,EN,NO,2,1,US,True,2076,1973,21
2026-07-14,SF,,ES,FR,2,0,US,True,2190,2163,42
2026-07-15,SF,,AR,EN,2,1,US,True,2177,2097,23
2026-07-18,3P,,EN,FR,6,4,US,True,2074,2121,51
2026-07-19,F,,ES,AR,1,0,US,True,2232,2200,27
